Date,Open,High,Low,Close,Adj. Close,Change,Volume
1993-02-01,43.97,44.25,43.97,44.25,24.402,0.00%,480500
1993-02-02,44.22,44.38,44.12,44.34,24.453,+0.20%,201300
1993-02-03,44.41,44.84,44.38,44.81,24.712,+1.06%,529400
1993-02-04,44.97,45.09,44.47,45.00,24.815,+0.42%,531500
1993-02-05,44.97,45.06,44.72,44.97,24.798,-0.07%,492100
1993-02-08,44.97,45.12,44.91,44.97,24.798,0.00%,596100
1993-02-09,44.81,44.81,44.56,44.66,24.626,-0.69%,122100
1993-02-10,44.66,44.75,44.53,44.72,24.660,+0.13%,379600
1993-02-11,44.78,45.12,44.78,44.94,24.781,+0.49%,19500
1993-02-12,44.88,44.88,44.59,44.59,24.591,-0.78%,42500
1993-02-16,44.47,44.47,43.41,43.47,23.971,-2.51%,374800
1993-02-17,43.47,43.53,43.28,43.44,23.954,-0.07%,210900
1993-02-18,43.94,43.94,42.81,43.41,23.936,-0.07%,378100
1993-02-19,43.41,43.56,43.34,43.56,24.023,+0.35%,34900
1993-02-22,43.69,43.78,43.56,43.72,24.109,+0.37%,513600
1993-02-23,43.84,43.88,43.47,43.69,24.091,-0.07%,373700
1993-02-24,43.72,44.25,43.72,44.25,24.402,+1.28%,26300
1993-02-25,44.22,44.38,44.12,44.34,24.453,+0.20%,44500
1993-02-26,44.44,44.44,44.19,44.41,24.488,+0.16%,66200
1993-03-01,44.56,44.56,44.22,44.28,24.419,-0.29%,66500
1993-03-02,44.31,44.94,44.25,44.94,24.781,+1.49%,182400
1993-03-03,45.00,45.16,44.94,45.12,24.884,+0.40%,280100
1993-03-04,45.19,45.19,44.88,44.88,24.746,-0.53%,89500
1993-03-05,44.94,45.12,44.72,44.75,24.677,-0.29%,40000
1993-03-08,44.84,45.75,44.84,45.75,25.229,+2.23%,50800
1993-03-09,45.66,45.69,45.50,45.59,25.143,-0.35%,169300
1993-03-10,45.59,45.69,45.41,45.69,25.194,+0.22%,194400
1993-03-11,45.72,45.84,45.50,45.56,25.125,-0.28%,70900
1993-03-12,45.19,45.22,44.81,45.09,24.867,-1.03%,643600
1993-03-15,45.06,45.31,45.06,45.31,24.988,+0.49%,310800
1993-03-16,45.31,45.44,45.31,45.31,24.988,0.00%,30800
1993-03-17,45.25,45.25,44.97,45.03,24.832,-0.62%,21800
